genotype,approx time since removal from food (min),# of bends backwards,omega turn?,tail touch?
N2,5,5,Y,N
N2,5,6,Y,Y
N2,5,2,Y,Y
N2,5,6,Y,Y
N2,5,3,Y,N
N2,5,4,Y,Y
N2,5,4,Y,Y
N2,5,4,Y,Y
N2,5,4,Y,Y
cest-1.2,5,2,Y,N
cest-1.2,5,4,Y,N
cest-1.2,5,3,Y,N
cest-1.2,5,4,Y,Y
cest-1.2,5,4,Y,Y
cest-1.2,5,6,Y,Y
cest-1.2,5,3,Y,Y
cest-1.2,5,5,Y,Y
cest-1.2,5,4,Y,Y
cest-1.2,5,3,Y,N
N2,30,6,Y,Y
N2,30,3,Y,Y
N2,30,10,Y,Y
N2,30,5,Y,Y
N2,30,6,Y,Y
N2,30,5,Y,Y
N2,30,5,Y,N
N2,30,6,Y,N
N2,30,5,Y,N
cest-1.2,30,5,Y,Y
cest-1.2,30,5,Y,Y
cest-1.2,30,2,Y,Y
cest-1.2,30,4,Y,Y
cest-1.2,30,3,Y,Y
cest-1.2,30,5,Y,N
cest-1.2,30,3,Y,N
cest-1.2,30,7,Y,Y
cest-1.2,30,8,Y,N
cest-1.2,30,7,Y,Y
