observer,genotype,under_4,four_to_8,more_than_8
MOD,N2,1,2,2
MOD,N2,0,0,0
MOD,N2,5,0,2
MOD,N2,3,2,1
MOD,N2,1,1,0
MOD,N2,2,0,7
MOD,N2,4,0,5
MOD,N2,7,0,9
MOD,N2,7,0,8
MOD,N2,6,0,4
MOD,N2,2,0,0
MOD,N2,5,0,8
MOD,N2,4,0,3
MOD,N2,5,0,4
MOD,N2,4,0,6
MOD,cest-1.2,5,0,5
MOD,cest-1.2,5,0,5
MOD,cest-1.2,5,0,9
MOD,cest-1.2,7,0,10
MOD,cest-1.2,3,0,5
MOD,cest-1.2,6,0,5
MOD,cest-1.2,6,0,2
MOD,cest-1.2,8,0,6
MOD,cest-1.2,4,0,0
MOD,cest-1.2,3,0,0
MOD,cest-1.2,4,0,1
MOD,cest-1.2,3,0,7
MOD,cest-1.2,5,0,9
MOD,cest-1.2,7,0,4
MOD,cest-1.2,5,0,5
MOD,cest-1.2,6,0,0
JB,N2,1,1,1
JB,N2,0,0,1
JB,N2,4,2,2
JB,N2,6,1,2
JB,N2,3,3,4
JB,N2,2,2,4
JB,N2,0,0,3
JB,N2,3,2,7
JB,N2,2,3,2
JB,N2,4,2,8
JB,N2,2,2,3
JB,N2,2,2,8
JB,N2,1,1,6
JB,N2,2,3,3
JB,N2,3,1,2
JB,N2,2,1,4
JB,cest-1.2,4,2,4
JB,cest-1.2,4,2,3
JB,cest-1.2,4,2,5
JB,cest-1.2,3,2,5
JB,cest-1.2,6,1,7
JB,cest-1.2,7,1,2
JB,cest-1.2,3,0,0
JB,cest-1.2,4,1,2
JB,cest-1.2,4,0,4
JB,cest-1.2,5,1,2
JB,cest-1.2,4,0,5
JB,cest-1.2,4,0,0
JB,cest-1.2,2,1,6
JB,cest-1.2,3,1,5
JB,cest-1.2,4,0,2
JB,cest-1.2,5,0,0
JB,cest-1.2,3,1,8
JB,cest-1.2,5,1,4
JB,cest-1.2,2,0,2
JB,cest-1.2,3,0,1
